2026-09-19 11:27:48,140 | WARNING | Predicting JSWSTEEL.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 11:27:48,188 | WARNING | Predicting BEL.NS with 5 NaN feature(s): ['sector_dispersion', 'ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 11:27:48,210 | WARNING | Predicting ONGC.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 11:27:48,228 | WARNING | Predicting COALINDIA.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 11:27:48,245 | WARNING | Predicting POWERGRID.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 11:27:48,261 | WARNING | Predicting SHRIRAMFIN.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 11:27:48,276 | WARNING | Predicting ASIANPAINT.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 11:27:48,342 | WARNING | Predicting EICHERMOT.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 11:27:48,357 | WARNING | Predicting INDIGO.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 11:27:48,386 | WARNING | Predicting WIPRO.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 11:27:48,455 | WARNING | Predicting APOLLOHOSP.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 11:27:48,500 | WARNING | Predicting CIPLA.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 11:27:48,515 | WARNING | Predicting MAXHEALTH.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 11:27:48,546 | WARNING | Predicting DRREDDY.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 11:27:48,561 | WARNING | Predicting NESTLEIND.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 11:27:48,566 | INFO | Generated 50 current predictions.
2026-09-19 12:33:14,381 | WARNING | Predicting BHARTIARTL.NS with 5 NaN feature(s): ['sector_dispersion', 'ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:14,415 | WARNING | Predicting ICICIBANK.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:14,475 | WARNING | Predicting LT.NS with 5 NaN feature(s): ['sector_dispersion', 'ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:14,490 | WARNING | Predicting HINDUNILVR.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:14,527 | WARNING | Predicting SUNPHARMA.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:14,543 | WARNING | Predicting INFY.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:14,557 | WARNING | Predicting KOTAKBANK.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:14,603 | WARNING | Predicting MARUTI.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:14,618 | WARNING | Predicting AXISBANK.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:14,633 | WARNING | Predicting M&M.NS with 1 NaN feature(s): ['days_since_last_ann']
2026-09-19 12:33:14,648 | WARNING | Predicting HCLTECH.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:14,662 | WARNING | Predicting ITC.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:14,693 | WARNING | Predicting NTPC.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:14,722 | WARNING | Predicting ETERNAL.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:14,736 | WARNING | Predicting JSWSTEEL.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:14,773 | WARNING | Predicting BEL.NS with 5 NaN feature(s): ['sector_dispersion', 'ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:14,792 | WARNING | Predicting ONGC.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:14,807 | WARNING | Predicting COALINDIA.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:14,822 | WARNING | Predicting POWERGRID.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:14,837 | WARNING | Predicting SHRIRAMFIN.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:14,852 | WARNING | Predicting ASIANPAINT.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:14,913 | WARNING | Predicting EICHERMOT.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:14,927 | WARNING | Predicting INDIGO.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:14,957 | WARNING | Predicting WIPRO.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:15,015 | WARNING | Predicting APOLLOHOSP.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:15,058 | WARNING | Predicting CIPLA.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:15,072 | WARNING | Predicting MAXHEALTH.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:15,102 | WARNING | Predicting DRREDDY.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:15,117 | WARNING | Predicting NESTLEIND.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 12:33:15,122 | INFO | Generated 50 current predictions.
